context_length,attempted,runtime_successful,runtime_failed,cuda_oom_count,usable_answer_outputs,malformed_outputs,thinking_trace_outputs,hit_128,degenerate_outputs,mean_input_tokens,min_input_tokens,median_input_tokens,max_input_tokens,sd_input_tokens,mean_generated_tokens,median_generated_tokens,mean_latency_seconds,median_latency_seconds,std_latency_seconds,p95_latency_seconds,total_generation_seconds,mean_peak_allocated_vram_gib,max_peak_allocated_vram_gib,mean_peak_reserved_vram_gib,max_peak_reserved_vram_gib
4K,500,500,0,0,461,39,0,0,0,4195.348,4092,4195.0,4313,38.07906151484965,7.736,8.0,0.3761752591133118,0.37895900942385197,0.03290388892888151,0.41439936370588837,188.08762955665588,9.048765339851379,9.499712944030762,9.62423046875,10.10546875
8K,500,500,0,0,480,20,0,0,0,8204.63,8085,8199.0,8364,49.59916586505279,7.85,8.0,0.7015118780452758,0.6993587221950293,0.04647108204541289,0.7643730983138085,350.7559390226379,10.853439500808715,10.9238600730896,11.94623828125,12.052734375
16K,500,500,0,0,495,5,0,0,0,16220.268,16043,16207.5,16469,75.06638462188252,7.876,8.0,1.4463259362187237,1.445418224669993,0.06479402255707167,1.5231887229718268,723.1629681093618,14.465310623168945,14.580068588256836,16.59888671875,16.75
32K,500,0,500,500,0,0,0,0,0,,,,,,,,,,,,0,,,,
64K,500,0,500,500,0,0,0,0,0,,,,,,,,,,,,0,,,,
82K,500,0,500,500,0,0,0,0,0,,,,,,,,,,,,0,,,,
