context_length,attempted,runtime_successful,runtime_failed,cuda_oom_count,usable_answer_outputs,malformed_outputs,thinking_trace_outputs,hit_128,degenerate_outputs,mean_input_tokens,min_input_tokens,median_input_tokens,max_input_tokens,sd_input_tokens,mean_generated_tokens,median_generated_tokens,mean_latency_seconds,median_latency_seconds,std_latency_seconds,p95_latency_seconds,total_generation_seconds,mean_peak_allocated_vram_gib,max_peak_allocated_vram_gib,mean_peak_reserved_vram_gib,max_peak_reserved_vram_gib
4K,500,500,0,0,500,0,0,0,0,5163.938,4814,5014.0,5817,311.5279336799926,12.65,12.0,0.47188244707137345,0.46215365966781974,0.044898726139534446,0.5697328477166592,235.94122353568673,4.104624110221863,4.174361705780029,4.275171875,4.380859375
8K,500,500,0,0,500,0,0,0,0,10105.758,9432,9798.5,11373,631.1333282215288,12.688,12.0,0.8356182863041759,0.8093165275640786,0.06850955979500852,0.9827924790792166,417.8091431520879,4.6433550701141355,4.784989833831787,5.0706328125,5.369140625
16K,500,500,0,0,500,0,0,0,0,19980.884,18687,19393.0,22354,1267.7232312006638,12.446,12.0,1.5873718958459795,1.5335883260704577,0.111710966564154,1.81673646569252,793.6859479229897,5.721422926902771,5.986956596374512,6.8245234375,7.580078125
32K,500,500,0,0,500,0,0,0,0,39735.956,37429,38533.0,44547,2547.625073887089,12.258,12.0,3.198688602289185,3.078403872437775,0.22825892185310814,3.616741317650303,1599.3443011445925,7.878902689933777,8.4033784866333,9.38275,11.03125
64K,500,500,0,0,500,0,0,0,0,79219.048,74754,76831.0,88795,5103.185816394432,12.2,12.0,6.81251160527207,6.5586971254087985,0.5157508009751932,7.73930582460016,3406.255802636035,12.189587630271912,13.232544422149658,16.274546875,18.416015625
82K,500,500,0,0,500,0,0,0,0,99421.714,94186,96411.0,111079,6246.079905073672,12.004,12.0,8.872064626898617,8.540811606682837,0.6784064634896521,10.084342058142648,4436.032313449308,14.396693559646607,15.667674541473389,19.5583828125,22.12109375
