context_length,total,usable_outputs,format_failures,hit_128,degenerate_outputs,mean_generated_tokens,mean_inference_seconds,median_inference_seconds,p95_inference_seconds
4K,100,100,0,0,0,8.47,0.31732395038008687,0.31507593113929033,0.34984575398266315
8K,100,100,0,0,0,8.42,0.6007813499122858,0.5982510871253908,0.6359501061961055
16K,100,100,0,0,0,8.31,1.2121606383286416,1.2097398359328508,1.2600105749443173
32K,100,100,0,0,0,8.37,2.8423769909795373,2.8350786096416414,2.935270583257079
64K,100,100,0,0,0,8.3,7.823902476206422,7.810557162389159,7.952475904487073
