context_length,attempted,runtime_successful,runtime_failed,cuda_oom_count,usable_answer_outputs,malformed_outputs,thinking_trace_outputs,hit_128,degenerate_outputs,mean_input_tokens,min_input_tokens,median_input_tokens,max_input_tokens,sd_input_tokens,mean_generated_tokens,median_generated_tokens,mean_latency_seconds,median_latency_seconds,std_latency_seconds,p95_latency_seconds,total_generation_seconds,mean_peak_allocated_vram_gib,max_peak_allocated_vram_gib,mean_peak_reserved_vram_gib,max_peak_reserved_vram_gib
4K,1,1,0,0,1,0,0,0,0,5779,5779,5779,5779,0.0,21,21,0.6103173326700926,0.6103173326700926,0.0,0.6103173326700926,0.6103173326700926,4.172793388366699,4.172793388366699,4.35546875,4.35546875
8K,1,1,0,0,1,0,0,0,0,11213,11213,11213,11213,0.0,21,21,0.9939401960000396,0.9939401960000396,0.0,0.9939401960000396,0.9939401960000396,4.763765811920166,4.763765811920166,5.298828125,5.298828125
16K,1,1,0,0,1,0,0,0,0,22244,22244,22244,22244,0.0,21,21,1.8365709772333503,1.8365709772333503,0.0,1.8365709772333503,1.8365709772333503,5.965349197387695,5.965349197387695,7.3046875,7.3046875
32K,1,1,0,0,1,0,0,0,0,44344,44344,44344,44344,0.0,12,12,3.5809739921242,3.5809739921242,0.0,3.5809739921242,3.5809739921242,8.378853797912598,8.378853797912598,11.015625,11.015625
64K,1,1,0,0,1,0,0,0,0,88540,88540,88540,88540,0.0,12,12,7.697034841403365,7.697034841403365,0.0,7.697034841403365,7.697034841403365,13.20536994934082,13.20536994934082,18.37109375,18.37109375
82K,1,1,0,0,1,0,0,0,0,110713,110713,110713,110713,0.0,12,12,10.065425598062575,10.065425598062575,0.0,10.065425598062575,10.065425598062575,15.631837368011475,15.631837368011475,22.0625,22.0625
