context_length,attempted,runtime_successful,runtime_failed,cuda_oom_count,usable_answer_outputs,malformed_outputs,thinking_trace_outputs,hit_128,degenerate_outputs,mean_input_tokens,min_input_tokens,median_input_tokens,max_input_tokens,sd_input_tokens,mean_generated_tokens,median_generated_tokens,mean_latency_seconds,median_latency_seconds,std_latency_seconds,p95_latency_seconds,total_generation_seconds,mean_peak_allocated_vram_gib,max_peak_allocated_vram_gib,mean_peak_reserved_vram_gib,max_peak_reserved_vram_gib
4K,10,10,0,0,10,0,0,0,0,4206.8,4107,4220.5,4262,47.84883604761051,9.6,10.0,0.40831491015851495,0.41195445926859975,0.012276610840117608,0.4192373080644757,4.08314910158515,9.050896406173706,9.074195384979248,9.640234375,9.671875
8K,10,10,0,0,10,0,0,0,0,8220.9,8166,8211.0,8284,39.660923954049395,9.6,10.0,0.7417487259022891,0.7532666614279151,0.018808098397590404,0.758824596554041,7.4174872590228915,10.859819555282593,10.894013404846191,11.96640625,11.984375
16K,10,10,0,0,10,0,0,0,0,16264.6,16155,16274.5,16316,49.092203499582745,9.5,10.0,1.4984840827062726,1.5083781145513058,0.02603516637037136,1.519851799076423,14.984840827062726,14.483999872207642,14.507543087005615,16.6322265625,16.6640625
32K,10,0,10,10,0,0,0,0,0,,,,,,,,,,,,0,,,,
64K,10,0,10,10,0,0,0,0,0,,,,,,,,,,,,0,,,,
82K,10,0,10,10,0,0,0,0,0,,,,,,,,,,,,0,,,,
