context_length,attempted,runtime_successful,runtime_failed,cuda_oom_count,usable_answer_outputs,malformed_outputs,hit_128,degenerate_outputs,mean_input_tokens,min_input_tokens,median_input_tokens,max_input_tokens,mean_generated_tokens,median_generated_tokens,mean_latency_seconds,median_latency_seconds,std_latency_seconds,p90_latency_seconds,p95_latency_seconds,p99_latency_seconds,total_generation_seconds,mean_peak_allocated_vram_gib,max_peak_allocated_vram_gib,mean_peak_reserved_vram_gib,max_peak_reserved_vram_gib
4K,500,500,0,0,500,0,0,0,4273.298,4202,4276.0,4359,8.358,8.0,0.3163375268038362,0.3146982337348163,0.02145752145655193,0.34564069276675585,0.3502039741259068,0.35451965930871665,158.1687634019181,6.7464288148880005,6.761199951171875,22.07509375,22.115234375
8K,500,500,0,0,500,0,0,0,8330.55,8257,8329.0,8459,8.278,8.0,0.5983668658640235,0.5971772032789886,0.02245665523411735,0.6326094740070403,0.635211107134819,0.6405630017351359,299.1834329320118,7.458703771591186,7.481277942657471,22.0739765625,22.115234375
16K,500,500,0,0,500,0,0,0,16442.33,16351,16440.5,16558,8.298,8.0,1.2120277230944485,1.2106716665439308,0.030906601537745586,1.2564507404342296,1.2600214832928032,1.26762136798352,606.0138615472242,8.88647451019287,8.90656042098999,22.045734375,22.115234375
32K,500,500,0,0,500,0,0,0,32671.378,32534,32663.0,32836,8.332,8.0,2.84234513387084,2.8320754766464233,0.047782159121873384,2.903911228384823,2.9384066376369447,2.943858372224495,1421.17256693542,11.742674489974975,11.7712082862854,22.0627265625,22.115234375
64K,500,500,0,0,500,0,0,0,65126.13,64894,65115.5,65367,8.244,8.0,7.827056548783555,7.803784295450896,0.07613214880523549,7.945200808066875,7.958660656725987,7.968346799472347,3913.528274391778,17.453799936294555,17.497068881988525,22.09294140625,22.115234375
82K,500,498,2,2,498,0,0,0,81745.13253012048,81622,81748.0,81800,8.29718875502008,8.0,11.259665092062503,11.250867950264364,0.07849737337223284,11.37797744134441,11.38466965612024,11.408812535693869,5607.313215847127,20.378715834943165,20.388025760650635,22.115571661646587,22.322265625
