context_length,attempted,runtime_successful,runtime_failed,cuda_oom_count,usable_answer_outputs,malformed_outputs,thinking_trace_outputs,hit_128,degenerate_outputs,mean_input_tokens,min_input_tokens,median_input_tokens,max_input_tokens,sd_input_tokens,mean_generated_tokens,median_generated_tokens,mean_latency_seconds,median_latency_seconds,std_latency_seconds,p95_latency_seconds,total_generation_seconds,mean_peak_allocated_vram_gib,max_peak_allocated_vram_gib,mean_peak_reserved_vram_gib,max_peak_reserved_vram_gib
4K,10,10,0,0,10,0,0,0,0,5718.6,5626,5737.0,5783,56.9370022237053,17.8,20.0,0.5665358099155128,0.5884882467798889,0.04067270188816764,0.5974647348746658,5.665358099155128,4.164920902252197,4.172824859619141,4.356640625,4.373046875
8K,10,10,0,0,10,0,0,0,0,11201.4,11091,11208.5,11327,66.84675675669605,17.7,20.0,0.955112383980304,0.9723484921269119,0.03783763325422,0.9890167802106589,9.55112383980304,4.762306547164917,4.77057409286499,5.2697265625,5.369140625
16K,10,10,0,0,10,0,0,0,0,22192.8,22052,22235.5,22311,88.6914752260767,15.4,12.0,1.778982277493924,1.7541754534468055,0.042570219588611874,1.83595579857938,17.78982277493924,5.96071949005127,5.9759016036987305,7.3787109375,7.580078125
32K,10,10,0,0,10,0,0,0,0,44212.7,43960,44252.5,44433,165.94647731522755,14.6,12.0,3.602001255750656,3.5784752229228616,0.048047103590760976,3.6771829419303685,36.02001255750656,8.366669702529908,8.393418312072754,10.2130859375,11.015625
64K,10,10,0,0,10,0,0,0,0,88218.2,87552,88327.5,88540,342.6847595742251,14.5,12.0,7.730406699050218,7.738636805675924,0.07686750611793029,7.823699384741485,77.30406699050218,13.173047065734863,13.20536994934082,17.137109375,18.37109375
82K,10,10,0,0,10,0,0,0,0,110418.8,109693,110632.5,110732,409.81318237026545,13.7,12.0,10.082733883615584,10.084974375087768,0.07053852472813744,10.184525060188026,100.82733883615583,15.599773359298705,15.636237621307373,19.4267578125,22.0625
