context,gradable_n,correct_count,correct_rate,correct_ci_low,correct_ci_high,inaccurate_count,inaccuracy_rate,inaccuracy_ci_low,inaccuracy_ci_high,hallucinatory_count,hallucinatory_rate,hallucinatory_ci_low,hallucinatory_ci_high,grounded_count,grounded_rate,grounded_ci_low,grounded_ci_high,runtime_failures,runtime_failure_rate_attempted,mean_latency,mean_input_tokens,mean_generated_tokens
4K,500,252,0.504,0.46,0.548,248,0.496,0.452,0.54,171,0.342,0.302,0.384,77,0.154,0.124,0.186,0,0.0,0.3163375268038362,4273.298,8.358
8K,500,228,0.456,0.412,0.5,272,0.544,0.5,0.588,186,0.372,0.33,0.414,86,0.172,0.14,0.206,0,0.0,0.5983668658640235,8330.55,8.278
16K,500,206,0.412,0.368,0.456,294,0.588,0.544,0.632,174,0.348,0.306,0.39,120,0.24,0.202,0.278,0,0.0,1.2120277230944485,16442.33,8.298
32K,500,192,0.384,0.342,0.426,308,0.616,0.574,0.658,191,0.382,0.34,0.424,117,0.234,0.198,0.272,0,0.0,2.84234513387084,32671.378,8.332
64K,500,152,0.304,0.264,0.344,348,0.696,0.656,0.736,209,0.418,0.376,0.462,139,0.278,0.23995000000000002,0.318,0,0.0,7.827056548783555,65126.13,8.244
82K,498,146,0.2931726907630522,0.25250501002004005,0.334,352,0.7068273092369478,0.666,0.7474949899799599,201,0.4036144578313253,0.36088709677419356,0.4468937875751503,151,0.3032128514056225,0.26305220883534136,0.344,2,0.004,11.259665092062503,81745.13253012048,8.29718875502008
