context,gradable_n,correct_pct,inaccurate_pct,inaccuracy_95_ci,hallucinatory_pct,grounded_pct,runtime_failures,mean_latency
4K,500,50.4,49.6,45.2%-54.0%,34.2,15.4,0,0.3163375268038362
8K,500,45.6,54.400000000000006,50.0%-58.8%,37.2,17.2,0,0.5983668658640235
16K,500,41.199999999999996,58.8,54.4%-63.2%,34.8,24.0,0,1.2120277230944485
32K,500,38.4,61.6,57.4%-65.8%,38.2,23.400000000000002,0,2.84234513387084
64K,500,30.4,69.6,65.6%-73.6%,41.8,27.800000000000004,0,7.827056548783555
82K,498,29.31726907630522,70.68273092369478,66.6%-74.7%,40.36144578313253,30.32128514056225,2,11.259665092062503
