context,n_successful,mean_latency,median_latency,std_latency,p90_latency,p95_latency,p99_latency,total_latency,mean_input_tokens,mean_generated_tokens,max_peak_allocated_vram_gib,mean_peak_allocated_vram_gib,max_peak_reserved_vram_gib,mean_peak_reserved_vram_gib
4K,500,0.3163375268038362,0.3146982337348163,0.02145752145655193,0.34564069276675574,0.35020397412590676,0.3545196593087166,158.1687634019181,4273.298,8.358,6.761199951171875,6.7464288148880005,22.115234375,22.07509375
8K,500,0.5983668658640235,0.5971772032789886,0.02245665523411736,0.6326094740070403,0.635211107134819,0.6405630017351359,299.1834329320118,8330.55,8.278,7.481277942657471,7.458703771591186,22.115234375,22.0739765625
16K,500,1.2120277230944485,1.2106716665439308,0.030906601537745597,1.2564507404342293,1.2600214832928032,1.26762136798352,606.0138615472242,16442.33,8.298,8.90656042098999,8.88647451019287,22.115234375,22.045734375
32K,500,2.84234513387084,2.8320754766464233,0.04778215912187338,2.9039112283848225,2.9384066376369447,2.943858372224495,1421.17256693542,32671.378,8.332,11.7712082862854,11.742674489974975,22.115234375,22.0627265625
64K,500,7.827056548783555,7.803784295450896,0.07613214880523547,7.945200808066875,7.958660656725987,7.9683467994723465,3913.528274391778,65126.13,8.244,17.497068881988525,17.453799936294555,22.115234375,22.09294140625
82K,498,11.259665092062503,11.250867950264364,0.07849737337223295,11.377977441344411,11.38466965612024,11.408812535693869,5607.313215847127,81745.13253012048,8.29718875502008,20.388025760650635,20.378715834943165,22.322265625,22.115571661646587
