context,gradable_n,correct_count,correct_rate,correct_ci_low,correct_ci_high,inaccurate_count,inaccuracy_rate,inaccuracy_ci_low,inaccuracy_ci_high,hallucinatory_count,hallucinatory_rate,hallucinatory_ci_low,hallucinatory_ci_high,grounded_count,grounded_rate,grounded_ci_low,grounded_ci_high,runtime_failures,mean_latency,mean_input_tokens,median_input_tokens
4K,500,252,0.504,0.46,0.548,248,0.496,0.452,0.538,171,0.342,0.3,0.386,77,0.154,0.122,0.186,0,0.3163375268038362,4273.298,4276.0
8K,500,228,0.456,0.412,0.498,272,0.544,0.50195,0.586,186,0.372,0.33,0.416,86,0.172,0.138,0.206,0,0.5983668658640235,8330.55,8329.0
16K,500,206,0.412,0.37,0.454,294,0.588,0.546,0.6300500000000002,174,0.348,0.306,0.388,120,0.24,0.202,0.278,0,1.2120277230944485,16442.33,16440.5
32K,500,192,0.384,0.34,0.42605000000000015,308,0.616,0.572,0.66,191,0.382,0.34,0.424,117,0.234,0.196,0.272,0,2.84234513387084,32671.378,32663.0
64K,500,152,0.304,0.264,0.344,348,0.696,0.654,0.736,209,0.418,0.376,0.462,139,0.278,0.238,0.32,0,7.827056548783555,65126.13,65115.5
82K,498,146,0.2931726907630522,0.25252525252525254,0.3320165322580646,352,0.7068273092369478,0.668,0.7464788732394366,201,0.4036144578313253,0.3628987814338354,0.44647003231510274,151,0.3032128514056225,0.2635814889336016,0.3453815261044177,2,11.259665092062503,81745.13253012048,81748.0
