context,gradable_n,correct_count,correct_rate,correct_ci_low,correct_ci_high,inaccurate_count,inaccuracy_rate,inaccuracy_ci_low,inaccuracy_ci_high,hallucinatory_count,hallucinatory_rate,hallucinatory_ci_low,hallucinatory_ci_high,grounded_count,grounded_rate,grounded_ci_low,grounded_ci_high,runtime_failures,mean_latency,mean_input_tokens,median_input_tokens
4K,500,274,0.548,0.504,0.594,226,0.452,0.408,0.496,142,0.284,0.246,0.322,84,0.168,0.136,0.202,0,0.47188244707137345,5163.938,5014.0
8K,500,229,0.458,0.412,0.504,271,0.542,0.5,0.584,143,0.286,0.248,0.324,128,0.256,0.21995,0.298,0,0.8356182863041759,10105.758,9798.5
16K,500,197,0.394,0.35195,0.438,303,0.606,0.562,0.648,120,0.24,0.202,0.2760500000000002,183,0.366,0.324,0.408,0,1.5873718958459795,19980.884,19393.0
32K,500,156,0.312,0.272,0.354,344,0.688,0.648,0.728,122,0.244,0.208,0.284,222,0.444,0.402,0.486,0,3.198688602289185,39735.956,38533.0
64K,500,163,0.326,0.286,0.37,337,0.674,0.632,0.714,92,0.184,0.15,0.218,245,0.49,0.444,0.534,0,6.81251160527207,79219.048,76831.0
82K,500,144,0.288,0.248,0.326,356,0.712,0.672,0.752,97,0.194,0.162,0.228,259,0.518,0.472,0.562,0,8.872064626898617,99421.714,96411.0
