outcome,predictor,formula,working_correlation,n_observations,n_families,coefficient,robust_se,odds_ratio_per_2x_context,odds_ratio_ci_low,odds_ratio_ci_high,p_value,converged,model
inaccurate,context_log2,inaccurate ~ context_log2,Exchangeable,2998,500,0.20845498149658281,0.022895476020445695,1.2317734762142785,1.177720361693054,1.2883074336286702,8.655597418634078e-20,True,llama32_3b
grounded_inaccuracy,context_log2,grounded_inaccuracy ~ context_log2,Exchangeable,2998,500,0.1947300446603377,0.026748476296768586,1.214982951079025,1.1529270787346042,1.2803789577332878,3.3371498939503463e-13,True,llama32_3b
hallucinatory_inaccuracy,context_log2,hallucinatory_inaccuracy ~ context_log2,Exchangeable,2998,500,0.0677003267179148,0.02109820238782771,1.0700445966505356,1.0266988034603421,1.1152203888442875,0.0013328105869846465,True,llama32_3b
inaccurate,context_log2,inaccurate ~ context_log2,Exchangeable,3000,500,0.24387694604936191,0.024530216905957285,1.2761872809401953,1.2162819268144862,1.339043144626073,2.735607978289658e-23,True,qwen35_2b
grounded_inaccuracy,context_log2,grounded_inaccuracy ~ context_log2,Exchangeable,3000,500,0.36953789208819465,0.023311402493024155,1.4470657595972054,1.3824376898597048,1.5147151498821942,1.3566297252888678e-56,True,qwen35_2b
hallucinatory_inaccuracy,context_log2,hallucinatory_inaccuracy ~ context_log2,Exchangeable,3000,500,-0.133585942343614,0.02005824850048614,0.8749522702976278,0.8412222484831012,0.9100347460845261,2.7401273762951962e-11,True,qwen35_2b
