context,n_successful,mean_latency,median_latency,sd_latency,p95_latency,total_latency,mean_input_tokens,mean_generated_tokens,max_peak_allocated_vram_gib,max_peak_reserved_vram_gib
4K,500,0.47188244707137345,0.46215365966781974,0.04489872613953446,0.5697328477166593,235.94122353568673,5163.938,12.65,4.174361705780029,4.380859375
8K,500,0.8356182863041759,0.8093165275640786,0.06850955979500852,0.9827924790792167,417.8091431520879,10105.758,12.688,4.784989833831787,5.369140625
16K,500,1.5873718958459795,1.5335883260704577,0.11171096656415404,1.8167364656925202,793.6859479229897,19980.884,12.446,5.986956596374512,7.580078125
32K,500,3.198688602289185,3.078403872437775,0.22825892185310803,3.616741317650303,1599.3443011445925,39735.956,12.258,8.4033784866333,11.03125
64K,500,6.81251160527207,6.5586971254087985,0.5157508009751931,7.73930582460016,3406.255802636035,79219.048,12.2,13.232544422149658,18.416015625
82K,500,8.872064626898617,8.540811606682837,0.6784064634896523,10.084342058142648,4436.032313449308,99421.714,12.004,15.667674541473389,22.12109375
