Context,Mean latency (s),Median latency (s),P95 latency (s),Total latency (s),Mean input tokens,Mean output tokens
4K,0.3173239503800868,0.3150759311392903,0.3498486455995589,31.73239503800869,4265.73,8.47
8K,0.6007813499122858,0.5982510871253908,0.6359666367061436,60.07813499122858,8329.19,8.42
16K,1.2121606383286416,1.2097398359328508,1.2600192060228437,121.21606383286417,16440.02,8.31
32K,2.8423769909795373,2.8350786096416414,2.9353641430847346,284.23769909795374,32671.02,8.37
64K,7.823902476206422,7.810557162389159,7.952514025289565,782.3902476206422,65120.48,8.3
